Ano,NomeConcelho,CodNomeConcelho,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
2002,Monção,MONÃ‡ÃƒO,PPD/PSD,46.9,PS,CDS/PP,BE,36.3,12.2,1.6,1.1
2002,Barreiro,BARREIRO,PS,41.7,PCP-PEV,PPD/PSD,CDS/PP,28.4,18.3,5.1,4.7
2002,Barrancos,BARRANCOS,PS,51.3,PPD/PSD,PCP-PEV,CDS/PP,23,15.8,5.9,0.7
2002,Sobral de Monte Agraço,SOBRAL DE MONTE AGRAÃ‡O,PS,38.3,PPD/PSD,PCP-PEV,CDS/PP,29.3,18,7.5,4.8
2002,Vila Verde,VILA VERDE,PPD/PSD,58,PS,CDS/PP,PCP-PEV,25.5,12.1,2.1,0.8
2002,Matosinhos,MATOSINHOS,PS,49.1,PPD/PSD,CDS/PP,PCP-PEV,32.9,7.6,5.5,2.9
2002,Montijo,MONTIJO,PS,42.2,PPD/PSD,PCP-PEV,CDS/PP,30.4,14.3,7.3,3.9
2002,Nelas,NELAS,PPD/PSD,52.8,PS,CDS/PP,BE,31.9,10.3,2.3,0.8
2002,São João da Pesqueira,SÃƒO JOÃƒO DA PESQUEIRA,PPD/PSD,53.6,PS,CDS/PP,PCP-PEV,30.3,11.3,2,0.6
2002,Vila do Conde,VILA DO CONDE,PS,43.8,PPD/PSD,CDS/PP,PCP-PEV,41.6,7.9,3.2,1.8
2002,Batalha,BATALHA,PPD/PSD,59.4,PS,CDS/PP,BE,20.9,15.5,1.8,0
2002,Elvas,ELVAS,PS,53.7,PPD/PSD,CDS/PP,PCP-PEV,27.9,9,5.6,2
2002,Leiria,LEIRIA,PPD/PSD,55.7,PS,CDS/PP,BE,25.9,12.5,2.5,0.9
2002,Vila Nova de Paiva,VILA NOVA DE PAIVA,PPD/PSD,54.9,PS,CDS/PP,BE,29,12.8,1.1,0.4
2002,Maia,MAIA,PS,42.4,PPD/PSD,CDS/PP,PCP-PEV,39.5,8.8,4.7,2.2
2002,Grândola,GRÃ‚NDOLA,PS,43.4,PCP-PEV,PPD/PSD,CDS/PP,26.9,21.7,3.2,3.4
2002,Arruda dos Vinhos,ARRUDA DOS VINHOS,PS,42.4,PPD/PSD,PCP-PEV,CDS/PP,37.4,8.7,6.3,2.8
2002,Albufeira,ALBUFEIRA,PPD/PSD,45.8,PS,CDS/PP,PCP-PEV,36,9.4,4.6,1.9
2002,Sever do Vouga,SEVER DO VOUGA,PPD/PSD,57.3,PS,CDS/PP,PCP-PEV,21.3,18,1.2,0.7
2002,Idanha-a-Nova,IDANHA-A-NOVA,PS,50.2,PPD/PSD,CDS/PP,PCP-PEV,39.1,6,1.8,0.2
2002,Estremoz,ESTREMOZ,PS,43.7,PPD/PSD,PCP-PEV,CDS/PP,33,13.8,5.5,2.1
2002,Vila Velha de Ródão,VILA VELHA DE RÃ“DÃƒO,PS,57.5,PPD/PSD,PCP-PEV,CDS/PP,33.2,3.7,3.7,0.2
2002,Fundão,FUNDÃƒO,PS,48.5,PPD/PSD,CDS/PP,PCP-PEV,38.1,6.7,2.9,2
2002,Anadia,ANADIA,PPD/PSD,56.5,PS,CDS/PP,BE,27.3,12,1.7,0.2
2002,Santa Maria da Feira,SANTA MARIA DA FEIRA,PPD/PSD,43.6,PS,CDS/PP,PCP-PEV,41.1,10,2.5,1
2002,Baião,BAIÃƒO,PS,46.8,PPD/PSD,CDS/PP,PCP-PEV,43,6.5,1.9,0
2002,Almeida,ALMEIDA,PPD/PSD,52.9,PS,CDS/PP,PCP-PEV,30,11.6,2.8,0.5
2002,Monchique,MONCHIQUE,PS,44,PPD/PSD,PCP-PEV,CDS/PP,40.5,6.7,4.3,1.5
2002,Caldas da Rainha,CALDAS DA RAINHA,PPD/PSD,48.7,PS,CDS/PP,PCP-PEV,32.8,10.9,3.3,2.5
2002,Santarém,SANTARÃ‰M,PS,40.6,PPD/PSD,PCP-PEV,CDS/PP,37.7,8.9,8.4,2.4
2002,Vouzela,VOUZELA,PPD/PSD,56.2,PS,CDS/PP,PCP-PEV,29.3,10.3,1.9,0.9
2002,Carrazeda de Ansiães,CARRAZEDA DE ANSIÃƒES,PPD/PSD,57.1,PS,CDS/PP,PCP-PEV,27.7,11.6,1.5,0
2002,Gouveia,GOUVEIA,PPD/PSD,48,PS,CDS/PP,PCP-PEV,39.5,7.3,2.8,0.5
2002,Moimenta da Beira,MOIMENTA DA BEIRA,PPD/PSD,49.8,PS,CDS/PP,PCP-PEV,32.2,14,1.7,0.5
2002,Torre de Moncorvo,TORRE DE MONCORVO,PPD/PSD,51.1,PS,CDS/PP,PCP-PEV,36,8.8,1.7,0.6
2002,Olhão,OLHÃƒO,PS,42.2,PPD/PSD,CDS/PP,PCP-PEV,35.7,11.1,6.1,2.5
2002,Pedrógão Grande,PEDRÃ“GÃƒO GRANDE,PPD/PSD,67.5,PS,CDS/PP,PCP-PEV,25,5,0.7,0
2002,Oliveira de Azeméis,OLIVEIRA DE AZEMÃ‰IS,PPD/PSD,46.5,PS,CDS/PP,PCP-PEV,36.6,12.5,1.9,0.8
2002,Resende,RESENDE,PS,46,PPD/PSD,CDS/PP,PCP-PEV,44.6,6.3,1.3,0
2002,Alpiarça,ALPIARÃ‡A,PS,43.8,PCP-PEV,PPD/PSD,CDS/PP,33,15.6,3.6,2.2
2002,Mogadouro,MOGADOURO,PPD/PSD,63,PS,CDS/PP,PCP-PEV,26.1,8.6,0.9,0
2002,Setúbal,SETÃšBAL,PS,38.3,PPD/PSD,PCP-PEV,CDS/PP,28.2,17.9,8.3,5.7
2002,Castro Verde,CASTRO VERDE,PS,45.8,PCP-PEV,PPD/PSD,BE,26.8,17.3,3.3,4.5
2002,Lousã,LOUSÃƒ,PS,50.3,PPD/PSD,CDS/PP,PCP-PEV,36,6.9,2.9,1.3
2002,Santa Comba Dão,SANTA COMBA DÃƒO,PPD/PSD,56.2,PS,CDS/PP,BE,32.6,7.5,1.6,0.1
2002,Avis,AVIS,PCP-PEV,43.1,PS,PPD/PSD,CDS/PP,28.2,21.7,3.4,2
2002,Entroncamento,ENTRONCAMENTO,PS,43.6,PPD/PSD,CDS/PP,PCP-PEV,32.4,8.2,8,5.6
2002,Vila Viçosa,VILA VIÃ‡OSA,PS,44.7,PPD/PSD,PCP-PEV,CDS/PP,29,15.2,7.8,1.9
2002,Vila de Rei,VILA DE REI,PPD/PSD,68.1,CDS/PP,PS,BE,15.6,13.3,0.7,0
2002,Figueiró dos Vinhos,FIGUEIRÃ“ DOS VINHOS,PPD/PSD,60.8,PS,CDS/PP,PCP-PEV,30.1,6.4,0.7,0
2002,Fronteira,FRONTEIRA,PS,42.5,PPD/PSD,PCP-PEV,CDS/PP,37.5,9.8,7.1,1.5
2002,Trofa,TROFA,PPD/PSD,50.4,PS,CDS/PP,PCP-PEV,35.5,8.7,2.9,0.5
2002,Penedono,PENEDONO,PPD/PSD,55.5,PS,CDS/PP,PCP-PEV,31.9,7.5,2.1,0.3
2002,Alijó,ALIJÃ“,PPD/PSD,52.5,PS,CDS/PP,PCP-PEV,34.9,8.3,1.8,0.5
2002,Mesão Frio,MESÃƒO FRIO,PPD/PSD,51.5,PS,CDS/PP,PCP-PEV,36,9.4,1.3,0.3
2002,Castanheira de Pêra,CASTANHEIRA DE PÃŠRA,PS,54.4,PPD/PSD,CDS/PP,PCP-PEV,36.9,4.6,1.6,0.1
2002,Chamusca,CHAMUSCA,PS,46.6,PPD/PSD,PCP-PEV,CDS/PP,24.5,17,7.7,2.1
2002,Valença,VALENÃ‡A,PPD/PSD,50.3,PS,CDS/PP,PCP-PEV,34.6,10.2,2,1.1
2002,Alenquer,ALENQUER,PS,45.5,PPD/PSD,PCP-PEV,CDS/PP,30.2,12.5,6.7,3.1
2002,São João da Madeira,SÃƒO JOÃƒO DA MADEIRA,PS,43.3,PPD/PSD,CDS/PP,PCP-PEV,38.1,11.1,3.7,2.1
2002,Bragança,BRAGANÃ‡A,PPD/PSD,51.6,PS,CDS/PP,PCP-PEV,33.1,9.2,2.2,2.2
2002,Vila do Bispo,VILA DO BISPO,PS,52.4,PPD/PSD,CDS/PP,PCP-PEV,30.3,6.3,5.8,3.5
1999,Vila Real de Santo António,VILA REAL DE SANTO ANTÃ“NIO,PS,49.2,PPD/PSD,PCP-PEV,CDS/PP,22.7,18.5,5.5,1.9
1999,Nazaré,NAZARÃ‰,PS,51.5,PPD/PSD,PCP-PEV,CDS/PP,30.5,8.2,5.3,2.4
1999,Oliveira do Bairro,OLIVEIRA DO BAIRRO,PPD/PSD,51.5,CDS/PP,PS,PCP-PEV,27.1,18.1,1.6,0
1999,Cuba,CUBA,PS,46.9,PCP-PEV,PPD/PSD,CDS/PP,36.4,9.8,2.6,2.8
1999,Santa Marta de Penaguião,SANTA MARTA DE PENAGUIÃƒO,PS,52.9,PPD/PSD,CDS/PP,PCP-PEV,39.1,4.4,1.7,0
1999,Tarouca,TAROUCA,PS,45.4,PPD/PSD,CDS/PP,PCP-PEV,39.6,9.7,2.6,0.9
1999,Montemor-o-Velho,MONTEMOR-O-VELHO,PS,54.4,PPD/PSD,PCP-PEV,CDS/PP,27.9,7.5,6.7,1.6
1999,Alvito,ALVITO,PS,43.4,PCP-PEV,PPD/PSD,CDS/PP,30.2,18.1,4.5,1.8
1999,Proença-a-Nova,PROENÃ‡A-A-NOVA,PPD/PSD,52.1,PS,CDS/PP,PCP-PEV,37.4,7.2,1.7,0
1999,Constância,CONSTÃ‚NCIA,PS,59.5,PPD/PSD,PCP-PEV,CDS/PP,18.2,12.8,6.1,0.6
1999,Alcácer do Sal,ALCÃ\u0081CER DO SAL,PS,50,PCP-PEV,PPD/PSD,CDS/PP,30.7,10.9,3.5,3.1
1999,Reguengos de Monsaraz,REGUENGOS DE MONSARAZ,PS,59.5,PPD/PSD,PCP-PEV,CDS/PP,19.5,13.2,4.1,1.7
1999,Celorico da Beira,CELORICO DA BEIRA,PS,46,PPD/PSD,CDS/PP,PCP-PEV,41,9.2,2.2,0
1999,Murtosa,MURTOSA,PPD/PSD,63.9,PS,CDS/PP,PCP-PEV,23.2,9.9,1.3,0.1
1999,Miranda do Corvo,MIRANDA DO CORVO,PS,54.7,PPD/PSD,PCP-PEV,CDS/PP,34.5,4.1,3.9,0.9
1999,Penalva do Castelo,PENALVA DO CASTELO,PPD/PSD,46.6,PS,CDS/PP,PCP-PEV,38.5,10.1,1.9,0.8
