Ano,NomeDistrito,CodNomeDistrito,TaxaAbstencao,Brancos,Nulos
2009,Lisboa,LISBOA,38.1,2,1.4
2009,Portalegre,PORTALEGRE,39.1,1.7,1.2
2009,Porto,PORTO,34.9,1.5,1.1
2009,Santarém,SANTARÃ‰M,39,2,1.5
2009,Setúbal,SETÃšBAL,40,1.8,1.5
2009,Viana Do Castelo,VIANA DO CASTELO,44.7,1.6,1.3
2009,Vila Real,VILA REAL,46.5,1.3,1.4
2009,Viseu,VISEU,43.6,1.6,1.8
2011,Aveiro,AVEIRO,41,3,1.3
2011,Beja,BEJA,44.8,2.4,1.4
2011,Braga,BRAGA,37.4,2.7,1.1
2011,Bragança,BRAGANÃ‡A,50.9,2,1.5
2011,Castelo Branco,CASTELO BRANCO,42.4,2.8,1.8
2011,Coimbra,COIMBRA,42.6,3.8,1.4
2011,Évora,Ã‰VORA,41,2.2,1.3
2011,Faro,FARO,44.2,3.1,1.5
2011,Guarda,GUARDA,46.1,2.5,2
2011,Leiria,LEIRIA,41.5,3.6,1.7
2011,Lisboa,LISBOA,37.8,2.8,1.4
2011,Portalegre,PORTALEGRE,42.1,2.6,1.4
2011,Porto,PORTO,36.8,2.6,1.3
2011,Santarém,SANTARÃ‰M,41,3.1,1.5
2011,Setúbal,SETÃšBAL,40.8,2.7,1.4
2011,Viana Do Castelo,VIANA DO CASTELO,47.5,3.1,1.3
2011,Vila Real,VILA REAL,49.2,1.8,1.3
2011,Viseu,VISEU,46.5,2.7,1.6
2015,Aveiro,AVEIRO,43.7,2.6,1.7
2015,Beja,BEJA,42.2,1.7,1.6
2015,Braga,BRAGA,39.8,2.3,1.3
2015,Bragança,BRAGANÃ‡A,52.8,1.8,2.1
2015,Castelo Branco,CASTELO BRANCO,42.5,2.1,2.2
2015,Coimbra,COIMBRA,43.7,2.8,1.7
2015,Évora,Ã‰VORA,40.1,1.7,1.3
2015,Faro,FARO,48.6,2.3,1.7
2015,Guarda,GUARDA,47.7,2.1,2.4
2015,Leiria,LEIRIA,43.7,3,2.1
2015,Lisboa,LISBOA,39.4,2,1.5
2015,Portalegre,PORTALEGRE,41.7,2,1.6
2015,Porto,PORTO,39.7,2,1.5
2015,Santarém,SANTARÃ‰M,42.1,2.4,1.8
2015,Setúbal,SETÃšBAL,41.7,1.8,1.5
2015,Viana Do Castelo,VIANA DO CASTELO,49.3,2.6,1.7
2015,Vila Real,VILA REAL,51.7,1.8,1.8
2015,Viseu,VISEU,48.7,2.3,2
